139.53	58.57	87.15	90
154.99	51.77	87.13	89.96
167.24	49.2	87.11	89.92
179.49	46.63	87.09	89.88
181.24	47.07	87.06	89.83
170.81	49.66	87.05	89.79
160.38	52.25	87.03	89.76
150.29	57.71	86.91	89.5
140.2	63.15	86.78	89.25
122.12	70.6	86.64	89
120.32	74.67	86.53	88.76
124.77	76.9	84.66	87.16
131.21	69.13	82.8	85.54
160.64	60.37	80.96	83.92
174.08	55.61	79.1	82.31
190.9	56.23	78.18	81.51
183.73	50.87	77.24	80.7
186.3	47.88	77.24	80.71
200.86	50.88	77.24	80.72
212.43	44.9	77.24	80.7
226.99	49.9	77.24	80.7
258.82	64.46	74.12	71.7
279.65	69.01	74.99	74.72
274.99	73.58	75.87	77.71
270.33	78.15	76.74	80.7
281.97	85.21	76.62	80.7
280.1	90.99	76.62	80.7
252.06	84.94	76.62	80.71
224.02	78.9	76.62	80.7
218.47	72.85	76.62	80.72
212.6	64.15	76.62	80.7
203.49	66.84	76.62	80.7
197.39	79.52	76.62	80.72
206.27	84.21	76.63	80.72
198.18	90.9	76.62	80.71
202.08	98.35	76.63	80.71
205.99	105.79	76.62	80.71
199.38	108.74	76.64	80.7
221.3	123.68	76.62	80.7
245.8	136.09	76.62	80.7
265.3	144.01	76.62	80.7
270.8	145.92	76.62	80.7
282.23	146.85	76.62	80.7
273.27	139.54	76.62	80.71
264.32	132.23	76.62	80.71
255.36	124.93	76.62	80.7
246.74	124.04	76.62	80.71
238.11	123.15	76.62	80.71
229.49	122.26	76.62	80.71
210.2	121.38	76.62	80.7
197.56	121.06	76.61	80.71
184.91	120.75	76.62	80.71
172.26	120.44	76.62	80.7
159.62	120.13	76.62	80.7
158.22	127.32	76.62	80.7
148.81	130.42	76.62	80.7
149.8	130.05	76.62	80.7
150.79	129.68	76.62	80.7
151.79	129.31	76.62	80.7
152.78	128.93	76.62	80.71
153.77	128.56	76.62	80.7
156.31	130.42	77.74	81.7
158.85	132.27	78.86	82.69
161.38	134.13	79.97	83.68
163.92	135.99	81.08	84.68
163.67	135.37	82.2	85.66
165.58	139.26	83.07	86.53
167.51	143.17	83.93	87.4
169.43	147.08	84.8	88.26
171.35	150.99	85.66	89.13
171.12	152.71	86.53	90
170.06	153.95	87.64	91.24
169	155.19	88.76	92.48
158.96	148.43	89.86	93.71
166.9	157.67	90.99	94.95
165.85	161.04	92.6	96.19
164.8	164.41	94.21	97.43
163.75	167.77	95.82	98.68
156.1	166.75	97.67	99.91
148.45	165.73	99.53	101.15
140.14	165.1	101.38	102.38
137.9	168.26	102.14	103.5
135.68	171.42	102.88	104.62
133.45	174.58	103.62	105.74
131.23	177.74	104.37	106.86
127.14	178.11	105.1	107.96
123.42	184.55	105.1	107.96
119.69	190.99	105.11	107.96
115.97	197.43	105.11	107.96
112.27	203.87	105.11	107.96
108.55	210.31	105.1	107.96
108.67	210.68	105.1	107.96
108.8	211.05	105.1	107.96
108.92	211.43	105.1	107.96
109.05	211.8	105.1	107.96
109.17	212.17	105.1	107.96
112.27	205.61	105.11	107.96
114.86	201.04	105.11	107.97
117.45	196.48	105.12	107.96
121.56	185.91	105.11	107.96
124.67	179.35	105.1	107.96
121.58	173.61	105.12	107.96
118.5	167.87	105.11	107.96
111.43	168.13	105.11	107.96
104.36	168.39	105.1	107.96
96.78	173.15	105.12	107.96
93.69	174.88	105.11	107.96
90.59	176.62	105.11	107.96
87.5	178.35	105.11	107.96
84.39	180.09	105.12	107.96
81.31	181.82	105.11	107.96
84.14	180.26	105.12	107.96
86.98	178.71	105.12	107.96
90.67	167.15	105.1	107.96
94.34	155.6	105.11	107.96
98.03	144.04	105.11	107.96
106.56	137.48	105.11	107.96
115.12	130.91	105.11	107.96
123.67	124.35	105.1	107.96
132.21	117.78	105.12	107.96
140.76	111.22	105.1	107.96
144.86	110.35	105.1	107.96
148.95	109.48	105.1	107.96
153.02	108.62	105.12	107.96
157.11	107.75	105.12	107.96
